CustomerId,Age,Balance,Geography,Risk_Score
15778975,70,96947.58,Germany,0.9043478260869566
15775761,69,86038.21,Germany,0.9000000000000001
15721426,65,126306.64,Germany,0.8826086956521739
15808044,65,106804.26,France,0.8826086956521739
15694376,64,153469.26,Germany,0.8782608695652174
15731815,63,96134.11,Spain,0.8739130434782609
15641175,63,120916.52,Germany,0.8739130434782609
15582129,62,43772.66,France,0.8695652173913044
15783019,62,123681.32,France,0.8695652173913044
15647725,61,62055.17,France,0.8652173913043477
15787189,60,134250.17,Germany,0.8608695652173912
15703793,58,133745.44,Germany,0.8521739130434782
15640846,58,106458.31,Germany,0.8521739130434782
15806808,57,112281.6,Germany,0.8478260869565217
15736510,57,0.0,Spain,0.8478260869565217
15653776,57,162082.31,Germany,0.8478260869565217
15724076,57,0.0,Spain,0.8478260869565217
15746333,57,0.0,France,0.8478260869565217
15734762,56,115895.22,France,0.8434782608695652
15666548,56,111920.13,Germany,0.8434782608695652
15803538,56,0.0,Spain,0.8434782608695652
15624820,56,50911.21,Spain,0.8434782608695652
15589017,55,111362.76,Germany,0.8391304347826087
15623210,55,149349.58,Germany,0.8391304347826087
15608338,55,117294.12,Spain,0.8391304347826087
15570002,55,118772.71,Germany,0.8391304347826087
15662291,55,116973.26,France,0.8391304347826087
15646720,55,0.0,Spain,0.8391304347826087
15723318,55,0.0,France,0.8391304347826087
15752342,54,133656.91,Germany,0.8347826086956522
15710087,54,125889.3,Germany,0.8347826086956522
15666297,53,0.0,Spain,0.8304347826086957
15692416,52,143542.36,Spain,0.826086956521739
15696989,52,139493.25,Germany,0.826086956521739
15663650,52,107304.39,Germany,0.826086956521739
15671591,52,96196.24,Spain,0.826086956521739
15701602,52,116497.31,Germany,0.826086956521739
15610446,51,88308.87,France,0.8217391304347825
15711446,51,0.0,Spain,0.8217391304347825
15753337,51,0.0,France,0.8217391304347825
15658969,51,0.0,France,0.8217391304347825
15612478,51,0.0,France,0.8217391304347825
15601594,51,144237.91,France,0.8217391304347825
15592773,51,108449.23,Germany,0.8217391304347825
15740223,51,107714.74,Germany,0.8217391304347825
15701439,50,0.0,Spain,0.817391304347826
15647898,50,130554.51,Spain,0.817391304347826
15689341,50,0.0,France,0.817391304347826
15621550,50,140292.58,Spain,0.817391304347826
15815316,50,76817.0,France,0.817391304347826
15766355,49,108806.96,Germany,0.8130434782608695
15641675,49,88915.37,France,0.8130434782608695
15727317,49,102286.6,Germany,0.8130434782608695
15788776,49,132623.76,Germany,0.8130434782608695
15670374,49,120656.86,Germany,0.8130434782608695
15655082,48,112070.86,France,0.808695652173913
15668283,48,118317.27,France,0.808695652173913
15684801,47,93871.95,France,0.8043478260869565
15720929,47,62094.71,France,0.8043478260869565
15592583,47,115414.19,France,0.8043478260869565
15622897,46,0.0,France,0.8
15709941,46,0.0,France,0.8
15634551,46,115248.11,Germany,0.8
15700487,46,118022.06,France,0.8
15639357,46,134950.19,France,0.8
15610383,46,46870.43,France,0.8
15605826,46,121063.8,Germany,0.8
15727619,46,113909.69,Germany,0.8
15606386,46,111512.75,Germany,0.8
15794056,46,0.0,France,0.8
15568006,45,0.0,France,0.7956521739130435
15692750,45,129818.39,Germany,0.7956521739130435
15655123,45,131355.3,Spain,0.7956521739130435
15800061,45,89158.94,Spain,0.7956521739130435
15654562,45,174088.3,Spain,0.7956521739130435
15739972,45,152367.21,Germany,0.7956521739130435
15603554,45,164649.52,France,0.7956521739130435
15623107,45,74274.87,Spain,0.7956521739130435
15788068,45,144677.19,Germany,0.7956521739130435
15664270,45,142084.04,Germany,0.7956521739130435
15757952,44,0.0,France,0.7913043478260869
15658057,44,0.0,Spain,0.7913043478260869
15750545,44,0.0,France,0.7913043478260869
15691817,44,0.0,Spain,0.7913043478260869
15684173,44,0.0,Spain,0.7913043478260869
15786196,44,105770.7,France,0.7913043478260869
15701687,44,77526.66,Spain,0.7913043478260869
15764866,43,116220.5,Germany,0.7869565217391304
15571928,43,0.0,France,0.7869565217391304
15616859,43,113641.49,Germany,0.7869565217391304
15668889,43,116322.27,Germany,0.7869565217391304
15732438,43,0.0,France,0.7869565217391304
15815271,43,165048.5,Germany,0.7869565217391304
15588955,43,93259.57,Germany,0.7869565217391304
15598751,43,0.0,France,0.7869565217391304
15750335,43,108508.82,Germany,0.7869565217391304
15751158,42,108825.34,France,0.7826086956521738
15623712,42,0.0,Spain,0.7826086956521738
15690546,42,0.0,France,0.7826086956521738
15619304,42,159660.8,France,0.7826086956521738
15734610,42,89838.71,France,0.7826086956521738
15621423,42,117280.23,France,0.7826086956521738
15719561,42,0.0,France,0.7826086956521738
15787907,42,137227.04,Germany,0.7826086956521738
15771728,41,104405.54,Germany,0.7782608695652173
15662098,41,128808.65,Spain,0.7782608695652173
15730287,41,147726.98,France,0.7782608695652173
15625761,41,127205.32,Germany,0.7782608695652173
15753079,41,0.0,France,0.7782608695652173
15622033,41,101543.51,Germany,0.7782608695652173
15566660,41,0.0,France,0.7782608695652173
15729718,41,0.0,France,0.7782608695652173
15793307,41,142880.28,Spain,0.7782608695652173
15794941,41,85906.65,Germany,0.7782608695652173
15609824,41,176845.41,France,0.7782608695652173
15714466,41,0.0,France,0.7782608695652173
15661945,40,0.0,Spain,0.7739130434782608
15622478,40,105061.74,France,0.7739130434782608
15815490,40,164948.98,Germany,0.7739130434782608
15796115,40,78119.59,Germany,0.7739130434782608
15724161,40,137285.26,France,0.7739130434782608
15743817,40,174126.75,Germany,0.7739130434782608
15580148,40,168286.81,Germany,0.7739130434782608
15711843,40,147856.82,Germany,0.7739130434782608
15765300,40,62389.03,Germany,0.7739130434782608
15629677,39,0.0,Spain,0.7695652173913043
15589475,39,0.0,Spain,0.7695652173913043
15640852,39,83348.89,Germany,0.7695652173913043
15673877,39,0.0,France,0.7695652173913043
15639946,39,162532.14,Germany,0.7695652173913043
15595324,39,117833.3,Germany,0.7695652173913043
15810723,39,0.0,France,0.7695652173913043
15573851,38,0.0,France,0.7652173913043478
15749583,38,93569.86,Germany,0.7652173913043478
15749519,38,128289.7,France,0.7652173913043478
15716608,38,0.0,Spain,0.7652173913043478
15771000,38,0.0,France,0.7652173913043478
15593782,38,130878.75,Germany,0.7652173913043478
15708867,38,134168.5,Spain,0.7652173913043478
15583392,37,135776.36,Germany,0.7608695652173914
15738715,37,0.0,France,0.7608695652173914
15750658,37,0.0,France,0.7608695652173914
15664808,37,0.0,Spain,0.7608695652173914
15658716,37,92171.35,Germany,0.7608695652173914
15753174,37,139592.98,Germany,0.7608695652173914
15684419,37,0.0,Spain,0.7608695652173914
15805637,36,108546.16,France,0.7565217391304349
15708063,36,100749.5,France,0.7565217391304349
15636977,36,118214.32,Germany,0.7565217391304349
15657637,36,0.0,Spain,0.7565217391304349
15645847,35,109196.66,Germany,0.7521739130434782
15764604,35,164769.02,France,0.7521739130434782
15681007,35,128548.49,France,0.7521739130434782
15678284,35,74623.5,France,0.7521739130434782
15585901,35,0.0,Spain,0.7521739130434782
15619955,34,100337.96,Germany,0.7478260869565216
15572182,33,106506.77,Germany,0.7434782608695651
15737025,33,0.0,France,0.7434782608695651
15694444,32,157138.99,Germany,0.7391304347826086
15709643,32,0.0,France,0.7391304347826086
15603851,32,127785.17,France,0.7391304347826086
15791944,32,175464.85,France,0.7391304347826086
15568032,31,127320.36,Germany,0.7347826086956522
15593976,31,102088.68,Germany,0.7347826086956522
15808868,31,103696.97,France,0.7347826086956522
15639077,30,158584.82,France,0.7304347826086957
15625824,30,121345.88,Spain,0.7304347826086957
15691910,30,0.0,Spain,0.7304347826086957
15663987,30,0.0,Spain,0.7304347826086957
15744691,29,0.0,France,0.7260869565217392
15671209,29,101713.84,Germany,0.7260869565217392
15608344,29,137059.05,Germany,0.7260869565217392
15656148,29,115046.74,Germany,0.7260869565217392
15593778,29,46388.16,France,0.7260869565217392
15729954,28,0.0,France,0.7217391304347827
15772482,28,132405.52,Germany,0.7217391304347827
15757759,28,165969.26,Spain,0.7217391304347827
15779947,28,146098.43,Spain,0.7217391304347827
15569759,27,0.0,France,0.7173913043478262
15584156,27,0.0,Spain,0.7173913043478262
15692106,25,147386.72,Spain,0.708695652173913
15807609,25,86605.5,Spain,0.708695652173913
15744582,24,0.0,France,0.7043478260869565
15741197,22,0.0,Spain,0.6956521739130435
15653251,84,87873.39,France,0.6652173913043478
15646037,77,0.0,France,0.6347826086956523
15737647,77,135120.56,Germany,0.6347826086956523
15653050,76,95052.29,Germany,0.6304347826086957
15678916,75,0.0,France,0.6260869565217391
15807889,74,108891.7,Germany,0.6217391304347826
15669060,74,0.0,France,0.6217391304347826
15714240,74,0.0,Spain,0.6217391304347826
15710164,73,0.0,France,0.6173913043478261
15655360,72,148666.99,Germany,0.6130434782608696
15603111,71,69608.14,Spain,0.6086956521739131
15785576,71,119496.87,Germany,0.6086956521739131
15671769,71,170252.05,France,0.6086956521739131
15790113,71,113317.1,Germany,0.6086956521739131
15698716,70,87926.24,France,0.6043478260869566
15813022,70,0.0,Spain,0.6043478260869566
15794360,70,71816.74,Germany,0.6043478260869566
15610900,70,110738.89,France,0.6043478260869566
15687079,69,115462.44,Spain,0.6000000000000001
15792868,69,0.0,France,0.6000000000000001
15651581,68,112595.85,Germany,0.5956521739130435
15608528,68,0.0,France,0.5956521739130435
15594391,68,183555.24,France,0.5956521739130435
15591107,68,110357.0,Germany,0.5956521739130435
15778149,68,0.0,Spain,0.5956521739130435
15691119,68,136525.99,Germany,0.5956521739130435
15732299,67,0.0,France,0.591304347826087
15687421,67,125919.35,Spain,0.591304347826087
15680611,67,0.0,France,0.591304347826087
15754053,67,0.0,France,0.591304347826087
15646372,66,135842.41,France,0.5869565217391304
15623944,66,0.0,Spain,0.5869565217391304
15579826,66,0.0,France,0.5869565217391304
15700263,66,0.0,France,0.5869565217391304
15659736,66,121411.9,Germany,0.5869565217391304
15589715,66,0.0,France,0.5869565217391304
15638610,65,117325.54,Germany,0.5826086956521739
15773283,65,38340.02,France,0.5826086956521739
15673995,65,102541.1,Spain,0.5826086956521739
15635964,65,120100.41,Germany,0.5826086956521739
15715907,64,113109.52,France,0.5782608695652174
15708534,64,0.0,Spain,0.5782608695652174
15648967,64,169362.43,Germany,0.5782608695652174
15810460,64,0.0,Spain,0.5782608695652174
15753110,64,45752.78,Spain,0.5782608695652174
15727353,64,142028.36,France,0.5782608695652174
15763256,64,128751.65,Germany,0.5782608695652174
15809087,64,0.0,France,0.5782608695652174
15654859,63,131629.17,Spain,0.5739130434782609
15773276,63,114552.6,Spain,0.5739130434782609
15756920,63,70655.48,France,0.5739130434782609
15605059,63,148843.56,Germany,0.5739130434782609
15745533,63,110314.21,France,0.5739130434782609
15609623,63,0.0,France,0.5739130434782609
